iter	Passed	Remaining
0	70	70249
1	145	72843
2	213	71016
3	283	70702
4	350	69818
5	419	69472
6	492	69862
7	564	69943
8	635	70015
9	704	69701
10	773	69537
11	844	69526
12	919	69839
13	1006	70885
14	1084	71247
15	1168	71857
16	1243	71889
17	1310	71521
18	1387	71647
19	1472	72158
20	1543	71943
21	1610	71582
22	1684	71561
23	1754	71347
24	1823	71102
25	1889	70796
26	1964	70781
27	2038	70768
28	2107	70557
29	2178	70449
30	2249	70316
31	2319	70173
32	2390	70048
33	2465	70037
34	2539	70012
35	2614	70020
36	2691	70043
37	2768	70082
38	2856	70389
39	2933	70397
40	3008	70366
41	3086	70408
42	3162	70378
43	3253	70687
44	3334	70769
45	3421	70962
46	3497	70920
47	3569	70787
48	3636	70570
49	3708	70465
50	3779	70335
51	3866	70488
52	3951	70606
53	4031	70633
54	4122	70825
55	4210	70984
56	4296	71074
57	4381	71156
58	4461	71155
59	4542	71162
60	4627	71226
61	4703	71158
62	4781	71113
63	4866	71169
64	4944	71126
65	5013	70952
66	5081	70768
67	5159	70721
68	5228	70541
69	5299	70406
70	5368	70245
71	5442	70144
72	5511	69987
73	5579	69818
74	5648	69658
75	5720	69550
76	5789	69393
77	5860	69271
78	5927	69099
79	5995	68948
80	6067	68844
81	6143	68777
82	6215	68673
83	6288	68570
84	6361	68482
85	6434	68387
86	6511	68334
87	6581	68206
88	6655	68124
89	6723	67978
90	6800	67928
91	6871	67821
92	6937	67660
93	7009	67557
94	7086	67509
95	7157	67399
96	7224	67258
97	7300	67197
98	7371	67091
99	7441	66969
100	7516	66902
101	7589	66819
102	7661	66724
103	7740	66689
104	7817	66637
105	7892	66562
106	7971	66528
107	8044	66441
108	8124	66408
109	8204	66382
110	8277	66296
111	8348	66195
112	8417	66073
113	8492	66005
114	8562	65893
115	8636	65813
116	8708	65719
117	8778	65617
118	8850	65527
119	8919	65409
120	8991	65317
121	9059	65198
122	9131	65106
123	9210	65068
124	9282	64978
125	9349	64856
126	9424	64782
127	9503	64740
128	9587	64731
129	9661	64660
130	9740	64613
131	9808	64500
132	9855	64242
133	9923	64131
134	9994	64039
135	10067	63956
136	10140	63874
137	10213	63794
138	10282	63695
139	10354	63609
140	10423	63504
141	10497	63430
142	10573	63369
143	10640	63254
144	10711	63161
145	10784	63083
146	10860	63020
147	10937	62964
148	11010	62883
149	11078	62780
150	11146	62668
151	11220	62597
152	11288	62492
153	11357	62389
154	11436	62346
155	11505	62249
156	11577	62164
157	11650	62089
158	11723	62009
159	11790	61898
160	11860	61806
161	11889	61500
162	11960	61416
163	12041	61382
164	12109	61282
165	12184	61216
166	12266	61183
167	12337	61102
168	12411	61028
169	12486	60965
170	12557	60879
171	12624	60775
172	12651	60478
173	12722	60394
174	12789	60294
175	12870	60255
176	12908	60020
177	12972	59908
178	13040	59810
179	13115	59748
180	13185	59661
181	13257	59584
182	13334	59532
183	13404	59447
184	13474	59360
185	13546	59285
186	13622	59224
187	13691	59133
188	13766	59072
189	13839	58998
190	13910	58919
191	13978	58826
192	14046	58732
193	14114	58638
194	14182	58550
195	14255	58475
196	14325	58392
197	14392	58296
198	14460	58204
199	14531	58126
200	14599	58036
201	14667	57945
202	14736	57855
203	14804	57766
204	14869	57664
205	14938	57579
206	15006	57489
207	15075	57403
208	15140	57303
209	15208	57212
210	15273	57114
211	15345	57039
212	15417	56964
213	15483	56869
214	15558	56806
215	15627	56723
216	15702	56658
217	15765	56553
218	15835	56471
219	15901	56379
220	15974	56307
221	16040	56215
222	16109	56130
223	16181	56055
224	16249	55970
225	16314	55874
226	16390	55813
227	16462	55740
228	16530	55653
229	16606	55595
230	16681	55532
231	16748	55442
232	16813	55347
233	16879	55255
234	16945	55163
235	17014	55080
236	17088	55015
237	17157	54931
